Participant ID,Original Response,Proponent Save Act - Election Integrity,Proponent Save Act - Accountability,Proponent Save Act - Public Confidence in Elections,Proponent Save Act - Other Valid,Proponent Save Act - Invalid,Opponent Save Act - Voting Disenfranchisement,Opponent Save Act - Lack of Serious Problem,Opponent Save Act - Unequal Burden,Opponent Save Act - Administrative Burden,Opponent Save Act - Other Valid,Opponent Save Act - Invalid,Arguments,Coding Comments,Accuracy Score,Accuracy Notes,Perceived Legitimacy - Proponents,Perceived Legitimacy - Proponents Comments,Perceived Legitimacy - Opponents,Perceived Legitimacy - Opponents Comments
11,"Supporters of the SAVE Act say it protects elections by making sure only U.S. citizens can vote. They believe it will boost trust and stop voter fraud. Opponents argue it targets a problem that barely exists and could block millions of eligible voters. They say it unfairly burdens low-income people, women, and election workers.
",1,0,1,0,0,1,1,1,0,0,0,"[[""Protects elections by making sure only U.S. citizens can vote and stops voter fraud"", ""Proponent Save Act - Election Integrity""], [""It will boost trust"", ""Proponent Save Act - Public Confidence in Elections""], [""It targets a problem that barely exists"", ""Opponent Save Act - Lack of Serious Problem""], [""It could block millions of eligible voters"", ""Opponent Save Act - Voting Disenfranchisement""], [""It unfairly burdens low-income people, women, and election workers"", ""Opponent Save Act - Unequal Burden""]]","[[""Proponent Save Act - Election Integrity"", ""Detected because the participant says supporters claim it protects elections by ensuring only U.S. citizens can vote and will stop voter fraud.""], [""Proponent Save Act - Public Confidence in Elections"", ""Detected because the participant says supporters believe it will 'boost trust', which is confidence in the process.""], [""Opponent Save Act - Voting Disenfranchisement"", ""Detected because the participant says opponents argue it could block millions of eligible voters.""], [""Opponent Save Act - Lack of Serious Problem"", ""Detected because the participant says opponents argue it targets 'a problem that barely exists'.""], [""Opponent Save Act - Unequal Burden"", ""Detected because the participant says it 'unfairly burdens low-income people, women, and election workers', naming specific groups carrying the burden.""]]",1,,4,"Supporters are given three linked reasons in their own voice - protecting elections, ensuring only citizens vote, and boosting trust while stopping fraud - so a neutral reader can clearly see why a reasonable person could hold the position.",4,"Opponents are given three distinct reasons - that the problem barely exists, that millions of eligible voters could be blocked, and that the burden falls unfairly on particular groups - which together make the position clearly understandable."
12,"Proponents of the SAVE act are convinced that noncitizen voters are skewing our election results. Due to this, extra documentation is now required for anyone who tries to vote in an attempt to 'crack down' on 'illegal immigrants' voting in elections. 

Opponents of the SAVE act have reasonably pointed out that there are already multiple safeguards to only allow citizens to participate in elections. They've even gone to show that the safeguards we have in place are working, since there's an estimated 0.0001% of our votes cast by noncitizens. This is not an actual issue that we're facing, it's just another way to impose control, and restrict immigrants & women. ",1,1,0,0,0,0,1,1,0,1,0,"[[""Noncitizen voters are skewing our election results; the Act cracks down on 'illegal immigrants' voting"", ""Proponent Save Act - Election Integrity""], [""Extra documentation is required of anyone who tries to vote"", ""Proponent Save Act - Accountability""], [""Multiple safeguards already exist and are working; an estimated 0.0001% of votes are cast by noncitizens, so this is not an actual issue"", ""Opponent Save Act - Lack of Serious Problem""], [""It restricts immigrants and women"", ""Opponent Save Act - Unequal Burden""], [""It is just another way to impose control"", ""Opponent Save Act - Other Valid""]]","[[""Proponent Save Act - Election Integrity"", ""Detected because the participant says proponents are convinced noncitizen voters are skewing election results and that the Act aims to 'crack down' on 'illegal immigrants' voting.""], [""Proponent Save Act - Accountability"", ""Detected because the participant states that extra documentation is required of anyone who tries to vote, which is the documentation requirement proponents rely on.""], [""Opponent Save Act - Lack of Serious Problem"", ""Detected because the participant says multiple safeguards already exist and are working and cites an estimated 0.0001% of votes cast by noncitizens, presenting the problem as non-existent.""], [""Opponent Save Act - Unequal Burden"", ""Detected because the participant says the Act restricts 'immigrants & women', naming specific groups it would fall on.""], [""Opponent Save Act - Other Valid"", ""Detected because the participant says it is 'just another way to impose control', an on-topic opponent claim about motive that does not fit the four named opponent categories.""]]",1,,2,"The proponent view is reported through scare quotes ('crack down', 'illegal immigrants') and as a conviction that is immediately answered by the opponent paragraph, so the position is recognizable but presented as weak and not seriously grounded.",4,"The opponent side is called 'reasonable' and supported with specific reasoning - existing safeguards, a cited rate of noncitizen voting, and the claim that the problem is not real - which lets a neutral reader clearly see the basis for the position."
13,election integrity public confidence,1,0,1,0,0,0,0,0,0,0,0,"[[""Election integrity"", ""Proponent Save Act - Election Integrity""], [""Public confidence"", ""Proponent Save Act - Public Confidence in Elections""]]","[[""Proponent Save Act - Election Integrity"", ""Detected because the participant names 'election integrity', which is the protection-of-the-vote category.""], [""Proponent Save Act - Public Confidence in Elections"", ""Detected because the participant names 'public confidence', which is trust in the process.""]]",1,,2,"The proponent side appears only as two bare labels, 'election integrity' and 'public confidence', with no statement of what the concern is or why it matters, so the position is identifiable but presented in a minimal form.",0,No identifiable substantive argument for the opponents was provided; the response names only proponent-side concepts.
14,"Those who are for the Save act are mostly just trying to keep non-citizens from voting, which is fair. Those who are against the Save act are against the possibly unintentional consequences of it, which discriminate against married women and people who have had name changes (largely transgender people). ",1,0,0,0,0,0,0,1,0,0,0,"[[""Keeping non-citizens from voting"", ""Proponent Save Act - Election Integrity""], [""Unintended consequences discriminate against married women and people who have had name changes, largely transgender people"", ""Opponent Save Act - Unequal Burden""]]","[[""Proponent Save Act - Election Integrity"", ""Detected because the participant says those for the Act are 'trying to keep non-citizens from voting'.""], [""Opponent Save Act - Unequal Burden"", ""Detected because the participant says the consequences 'discriminate against married women and people who have had name changes (largely transgender people)', identifying specific groups disproportionately affected.""]]",1,,3,"The proponent aim is stated plainly and endorsed as 'fair', giving the position an understandable basis, but the participant offers no explanation of why keeping non-citizens from voting matters.",3,"The opponent concern is tied to specific affected groups and to name changes as the mechanism, which makes it recognizable as a legitimate worry, though it is confined to one sentence."
15,"People say that the Save Act makes sure only U.S. citizens can vote. It prevents non-citizens from voting by verifying through things like a birth certificate. However, people argue that it's not necessary, could be suffocating to eligible voters, and there is little to no voter fraud anyways.",1,1,0,0,0,1,1,0,0,0,0,"[[""It makes sure only U.S. citizens can vote and prevents non-citizens from voting"", ""Proponent Save Act - Election Integrity""], [""Verifying through things like a birth certificate"", ""Proponent Save Act - Accountability""], [""It could be suffocating to eligible voters"", ""Opponent Save Act - Voting Disenfranchisement""], [""It's not necessary and there is little to no voter fraud anyway"", ""Opponent Save Act - Lack of Serious Problem""]]","[[""Proponent Save Act - Election Integrity"", ""Detected because the participant says the Act makes sure only U.S. citizens can vote and prevents non-citizens from voting.""], [""Proponent Save Act - Accountability"", ""Detected because the participant describes verification 'through things like a birth certificate'.""], [""Opponent Save Act - Voting Disenfranchisement"", ""Detected because the participant says it 'could be suffocating to eligible voters', which is making voting difficult for legitimate voters.""], [""Opponent Save Act - Lack of Serious Problem"", ""Detected because the participant says it is 'not necessary' and that 'there is little to no voter fraud anyways'.""]]",1,,3,"The proponent position is stated with both a goal (only citizens voting) and a means (birth-certificate verification), giving it an understandable rationale, but no reason is given for why supporters find this pressing.",3,"Two opponent concerns are given - burden on eligible voters and the near-absence of voter fraud - which make the position recognizable, though each is asserted in a few words."
16,"The key argument is that only American citizens should be allowed to vote in elections,  not outside citizens. Proponents argument is protecting election integrity, they argue that the bill is essential to prevent non-citizens from voting in federal elections. They also say that voters should have to show identification when they are going to vote. 
Opponents include democrats voting rights organizations and election experts. Non-citizen voting is already illegal and very rare, unnecessary bureaucracy and cost, etc.",1,1,0,0,0,0,1,0,1,0,0,"[[""Protecting election integrity; the bill is essential to prevent non-citizens from voting in federal elections"", ""Proponent Save Act - Election Integrity""], [""Voters should have to show identification when they vote"", ""Proponent Save Act - Accountability""], [""Non-citizen voting is already illegal and very rare"", ""Opponent Save Act - Lack of Serious Problem""], [""Unnecessary bureaucracy and cost"", ""Opponent Save Act - Administrative Burden""]]","[[""Proponent Save Act - Election Integrity"", ""Detected because the participant explicitly names 'protecting election integrity' and says proponents call the bill essential to prevent non-citizens from voting in federal elections.""], [""Proponent Save Act - Accountability"", ""Detected because the participant says proponents hold that voters should have to show identification.""], [""Opponent Save Act - Lack of Serious Problem"", ""Detected because the participant says non-citizen voting 'is already illegal and very rare', presenting the problem as negligible and already addressed.""], [""Opponent Save Act - Administrative Burden"", ""Detected because the participant lists 'unnecessary bureaucracy and cost' among opponent points, which is implementation burden and expense.""]]",1,,4,"The proponent position is named explicitly (election integrity), given a stated purpose (preventing non-citizen voting in federal elections), described as 'essential', and paired with the identification requirement, so a neutral reader can clearly see why a reasonable person could support it.",3,"Opponent points are listed - that non-citizen voting is already illegal and rare, plus unnecessary bureaucracy and cost - which makes the position recognizable, but the list is compressed and closed with 'etc.' rather than developed."
17,"federal bill that would require voters to provide documentary proof of U.S. citizenship, such as a birth certificate or passport, in order to register or update their voter registration for federal elections. ",0,0,0,0,0,0,0,0,0,0,0,[],[],1,,0,No identifiable substantive argument for the proponents was provided; the response only describes what the bill would require.,0,No identifiable substantive argument for the opponents was provided; the response only describes what the bill would require.
18,"- Require proof of citizenship to vote
- Ensure only Americans vote in elections 
- Support for spending reform tied to election outcomes
opponents: 
- Bill seen as discriminatory
- Could prevent married women from voting due to name changes
- concerns about voter suppression

",1,1,0,0,1,1,0,1,0,0,0,"[[""Require proof of citizenship to vote"", ""Proponent Save Act - Accountability""], [""Ensure only Americans vote in elections"", ""Proponent Save Act - Election Integrity""], [""Support for spending reform tied to election outcomes"", ""Proponent Save Act - Invalid""], [""Bill seen as discriminatory; could prevent married women from voting due to name changes"", ""Opponent Save Act - Unequal Burden""], [""Concerns about voter suppression"", ""Opponent Save Act - Voting Disenfranchisement""]]","[[""Proponent Save Act - Election Integrity"", ""Detected because the participant lists 'Ensure only Americans vote in elections'.""], [""Proponent Save Act - Accountability"", ""Detected because the participant lists 'Require proof of citizenship to vote' on the supporting side.""], [""Proponent Save Act - Invalid"", ""Detected because 'Support for spending reform tied to election outcomes' is listed among the proponent points but is about spending policy, not about the SAVE Act's subject matter.""], [""Opponent Save Act - Voting Disenfranchisement"", ""Detected because the participant lists 'concerns about voter suppression'.""], [""Opponent Save Act - Unequal Burden"", ""Detected because the participant lists the bill being 'discriminatory' and that it 'could prevent married women from voting due to name changes', naming a specific group disproportionately affected.""]]",1,,3,"Two intelligible proponent aims are listed - requiring proof of citizenship and ensuring only Americans vote - which makes the position recognizable, but they are bullet labels with no supporting reasoning, and a third bullet is off-topic.",3,"The opponent bullets name discrimination, the specific case of married women affected by name changes, and voter suppression, so the concern is recognizable and tied to a mechanism, though nothing is elaborated."
19,"the proponent's arguments claim that the SAVE Act aims to prevent voter fraud and foreign interference in elections. They see it as a necessary step to protect American democracy. The opponent's arguments claim that the provided text does not explicitly state their side, but it does mention the critics claim that the bill could be discriminatory. ",1,0,0,0,0,0,0,1,0,0,0,"[[""The Act aims to prevent voter fraud and foreign interference and is a necessary step to protect American democracy"", ""Proponent Save Act - Election Integrity""], [""Critics claim the bill could be discriminatory"", ""Opponent Save Act - Unequal Burden""]]","[[""Proponent Save Act - Election Integrity"", ""Detected because the participant says proponents claim the Act prevents voter fraud and foreign interference and protects American democracy.""], [""Opponent Save Act - Unequal Burden"", ""Detected because the participant reports that critics claim the bill 'could be discriminatory', which is a claim of unequal treatment.""]]",1,,4,"Proponents are given several linked reasons - preventing voter fraud, blocking foreign interference, and protecting American democracy - and the stake is stated explicitly, so a neutral reader can see why a reasonable person could hold the position.",2,"The opponent side is represented only by the reported label 'could be discriminatory', and the participant notes the source did not state their side, so the position is recognizable but presented with essentially no basis."
20,I learned its about fighting for a bill which was passed in April,0,0,0,0,0,0,0,0,0,0,0,[],[],1,,0,No identifiable substantive argument for the proponents was provided; the response only notes that the bill was passed in April.,0,No identifiable substantive argument for the opponents was provided; the response only notes that the bill was passed in April.
21,"Supporters of the SAVE Act say it is needed to protect election integrity by making sure only U.S. citizens can vote. They argue that requiring proof of citizenship, like a passport or birth certificate, will prevent voter fraud and build trust in the election system. Opponents argue that voter fraud by non-citizens is extremely rare and that the new rules would make it harder for many eligible Americans especially women, low-income people, and minorities to register or vote. They believe the bill would do more harm than good by discouraging legal voters from participating.",1,1,1,0,0,1,1,1,0,0,0,"[[""It is needed to protect election integrity by making sure only U.S. citizens can vote, and will prevent voter fraud"", ""Proponent Save Act - Election Integrity""], [""Requiring proof of citizenship, like a passport or birth certificate"", ""Proponent Save Act - Accountability""], [""It will build trust in the election system"", ""Proponent Save Act - Public Confidence in Elections""], [""Voter fraud by non-citizens is extremely rare"", ""Opponent Save Act - Lack of Serious Problem""], [""The rules would make it harder for many eligible Americans to register or vote and would discourage legal voters from participating"", ""Opponent Save Act - Voting Disenfranchisement""], [""Especially women, low-income people, and minorities"", ""Opponent Save Act - Unequal Burden""]]","[[""Proponent Save Act - Election Integrity"", ""Detected because the participant says supporters call it needed to protect election integrity by ensuring only U.S. citizens can vote and to prevent voter fraud.""], [""Proponent Save Act - Accountability"", ""Detected because the participant states that supporters would require proof of citizenship such as a passport or birth certificate.""], [""Proponent Save Act - Public Confidence in Elections"", ""Detected because the participant says supporters argue it will 'build trust in the election system'.""], [""Opponent Save Act - Voting Disenfranchisement"", ""Detected because the participant says the rules would make registering or voting harder for many eligible Americans and would discourage legal voters from participating.""], [""Opponent Save Act - Lack of Serious Problem"", ""Detected because the participant says opponents argue voter fraud by non-citizens is 'extremely rare'.""], [""Opponent Save Act - Unequal Burden"", ""Detected because the participant specifies women, low-income people, and minorities as those especially affected.""]]",1,,4,"Supporters are given a goal, a mechanism, and two consequences (preventing fraud, building trust) stated in their own voice, which clearly communicates why a reasonable person could hold the position.",4,"Opponents are given a factual premise (fraud by non-citizens is extremely rare), the groups most affected, and a conclusion about net harm, which together make the position clearly understandable."
22,It requires real id's in order to vote.,0,0,0,0,0,0,0,0,0,0,0,[],[],1,,0,No identifiable substantive argument for the proponents was provided; the response only states what the Act requires.,0,No identifiable substantive argument for the opponents was provided; the response only states what the Act requires.
23,The save act has been introduced to stop non American citizens from voting in American elections. Many well known people have called to pass this act going as a far as accusing others of being traitors of America if they oppose it. ,1,0,0,0,0,0,0,0,0,0,0,"[[""The Act was introduced to stop non-American citizens from voting in American elections"", ""Proponent Save Act - Election Integrity""]]","[[""Proponent Save Act - Election Integrity"", ""Detected because the participant says the Act was introduced to stop non-American citizens from voting in American elections.""]]",1,,3,"The proponent purpose is stated plainly - stopping non-citizens from voting - which is an understandable concern, though the rest of the response describes supporters' rhetoric rather than developing the rationale.",0,"No identifiable substantive argument for the opponents was provided; opponents appear only as people accused of being traitors, with no position attributed to them."
24,"The SAVE act is an act that is being proposed by right wing government officials to require proof of citizenship, like a birth certificate, ID, or passport, to allow a person to vote in US elections. The left disapproves of this act, stating how it can be used to oppose individuals, the right agrees with the act and believes it will stop ""illegals from voting in US elections"".",1,1,0,0,0,0,0,0,0,1,0,"[[""Requires proof of citizenship, like a birth certificate, ID, or passport"", ""Proponent Save Act - Accountability""], [""The right believes it will stop 'illegals from voting in US elections'"", ""Proponent Save Act - Election Integrity""], [""The left says it can be used to oppose individuals"", ""Opponent Save Act - Other Valid""]]","[[""Proponent Save Act - Election Integrity"", ""Detected because the participant says the right believes it will stop 'illegals from voting in US elections'.""], [""Proponent Save Act - Accountability"", ""Detected because the participant says the Act would require proof of citizenship such as a birth certificate, ID, or passport.""], [""Opponent Save Act - Other Valid"", ""Detected because the participant says the left states it 'can be used to oppose individuals', an on-topic objection that is too general to fit any of the four named opponent categories.""]]",1,,3,"The proponent position is given both a mechanism (documentary proof) and a stated belief about its effect (stopping non-citizens from voting), which is an understandable rationale, though it is only one clause.",2,"The opponent position appears only as the claim that the Act 'can be used to oppose individuals', which is too vague to show a neutral reader the basis for the objection."
25,Requires US voters to show document proof of citizenship when registering for voting.,0,0,0,0,0,0,0,0,0,0,0,[],[],1,,0,No identifiable substantive argument for the proponents was provided; the response only restates the registration requirement.,0,No identifiable substantive argument for the opponents was provided; the response only restates the registration requirement.
26,That the SAVE Act may represent a highly contentious issue with a strong rhetoric from both sides of politics.,0,0,0,0,0,0,0,0,0,0,0,[],[],1,,0,No identifiable substantive argument for the proponents was provided; the response comments on the tone of the debate rather than any position.,0,No identifiable substantive argument for the opponents was provided; the response comments on the tone of the debate rather than any position.
