Participant ID,Original Response,Proponent Save Act - Election Integrity,Proponent Save Act - Accountability,Proponent Save Act - Public Confidence in Elections,Proponent Save Act - Other Valid,Proponent Save Act - Invalid,Opponent Save Act - Voting Disenfranchisement,Opponent Save Act - Lack of Serious Problem,Opponent Save Act - Unequal Burden,Opponent Save Act - Administrative Burden,Opponent Save Act - Other Valid,Opponent Save Act - Invalid,Arguments,Coding Comments,Accuracy Score,Accuracy Notes,Perceived Legitimacy - Proponents,Perceived Legitimacy - Proponents Comments,Perceived Legitimacy - Opponents,Perceived Legitimacy - Opponents Comments
13,election integrity public confidence,1,0,1,0,0,0,0,0,0,0,0,"[[""The proponent concern is election integrity."", ""Proponent Save Act - Election Integrity""], [""The proponent concern is public confidence."", ""Proponent Save Act - Public Confidence in Elections""]]","[[""Proponent Save Act - Election Integrity"", ""Detected because the participant expresses “The proponent concern is election integrity.”; it is presented as protecting eligible votes or election integrity.""], [""Proponent Save Act - Public Confidence in Elections"", ""Detected because the participant expresses “The proponent concern is public confidence.”; it describes increasing trust or confidence in elections.""]]",1,,2,"Election integrity and public confidence identify the supportive concerns, but they are only labels and are not developed. This makes the position recognizable but leaves it simplistic or weakly developed, matching level 2.",0,"No identifiable substantive argument for opponents was provided, so the score is 0."
14,"Those who are for the Save act are mostly just trying to keep non-citizens from voting, which is fair. Those who are against the Save act are against the possibly unintentional consequences of it, which discriminate against married women and people who have had name changes (largely transgender people). ",1,0,0,0,0,0,0,1,0,0,0,"[[""Supporters want to keep noncitizens from voting."", ""Proponent Save Act - Election Integrity""], [""The Act may discriminate against married women and people who changed names, especially transgender people."", ""Opponent Save Act - Unequal Burden""]]","[[""Proponent Save Act - Election Integrity"", ""Detected because the participant expresses “Supporters want to keep noncitizens from voting.”; it is presented as protecting eligible votes or election integrity.""], [""Opponent Save Act - Unequal Burden"", ""Detected because the participant expresses “The Act may discriminate against married women and people who changed names, especially transgender people.”; it describes a disproportionate burden on a specific group.""]]",1,,3,"Keeping noncitizens from voting is presented as a fair and understandable proponent concern. This gives the position an understandable concern or rationale and presents it as legitimate, matching level 3.",4,"The response clearly identifies name mismatches as a mechanism that may burden married women and transgender people. This clearly communicates why a reasonable person could hold the position, matching level 4."
15,"People say that the Save Act makes sure only U.S. citizens can vote. It prevents non-citizens from voting by verifying through things like a birth certificate. However, people argue that it's not necessary, could be suffocating to eligible voters, and there is little to no voter fraud anyways.",1,1,0,0,0,1,1,0,0,0,0,"[[""It makes sure only U.S. citizens vote and prevents noncitizens from voting."", ""Proponent Save Act - Election Integrity""], [""Citizenship is verified through documents such as a birth certificate."", ""Proponent Save Act - Accountability""], [""It could be suffocating to eligible voters."", ""Opponent Save Act - Voting Disenfranchisement""], [""It is not necessary because there is little to no voter fraud."", ""Opponent Save Act - Lack of Serious Problem""]]","[[""Proponent Save Act - Election Integrity"", ""Detected because the participant expresses “It makes sure only U.S. citizens vote and prevents noncitizens from voting.”; it is presented as protecting eligible votes or election integrity.""], [""Proponent Save Act - Accountability"", ""Detected because the participant expresses “Citizenship is verified through documents such as a birth certificate.”; it describes requiring identity or citizenship verification.""], [""Opponent Save Act - Voting Disenfranchisement"", ""Detected because the participant expresses “It could be suffocating to eligible voters.”; it describes making voting harder or blocking legitimate voters.""], [""Opponent Save Act - Lack of Serious Problem"", ""Detected because the participant expresses “It is not necessary because there is little to no voter fraud.”; it says the targeted problem is rare, already addressed, or not serious.""]]",1,,3,"The response links citizenship verification with preventing noncitizen voting, making the supportive rationale understandable. This gives the position an understandable concern or rationale and presents it as legitimate, matching level 3.",4,"The response clearly pairs possible harm to eligible voters with the claim that voter fraud is too rare to justify the Act. This clearly communicates why a reasonable person could hold the position, matching level 4."
16,"The key argument is that only American citizens should be allowed to vote in elections,  not outside citizens. Proponents argument is protecting election integrity, they argue that the bill is essential to prevent non-citizens from voting in federal elections. They also say that voters should have to show identification when they are going to vote. 
Opponents include democrats voting rights organizations and election experts. Non-citizen voting is already illegal and very rare, unnecessary bureaucracy and cost, etc.",1,1,0,0,0,0,1,0,1,0,0,"[[""The bill is essential to prevent noncitizens from voting and protect election integrity."", ""Proponent Save Act - Election Integrity""], [""Voters should have to show identification."", ""Proponent Save Act - Accountability""], [""Noncitizen voting is already illegal and very rare."", ""Opponent Save Act - Lack of Serious Problem""], [""The Act creates unnecessary bureaucracy and cost."", ""Opponent Save Act - Administrative Burden""]]","[[""Proponent Save Act - Election Integrity"", ""Detected because the participant expresses “The bill is essential to prevent noncitizens from voting and protect election integrity.”; it is presented as protecting eligible votes or election integrity.""], [""Proponent Save Act - Accountability"", ""Detected because the participant expresses “Voters should have to show identification.”; it describes requiring identity or citizenship verification.""], [""Opponent Save Act - Lack of Serious Problem"", ""Detected because the participant expresses “Noncitizen voting is already illegal and very rare.”; it says the targeted problem is rare, already addressed, or not serious.""], [""Opponent Save Act - Administrative Burden"", ""Detected because the participant expresses “The Act creates unnecessary bureaucracy and cost.”; it describes implementation ambiguity, time, cost, legal risk, or administrative difficulty.""]]",1,,4,"The response clearly explains both the election-integrity goal and identification mechanism. This clearly communicates why a reasonable person could hold the position, matching level 4.",4,"The response clearly explains rarity and existing law, then adds bureaucracy and cost as implementation objections. This clearly communicates why a reasonable person could hold the position, matching level 4."
17,"federal bill that would require voters to provide documentary proof of U.S. citizenship, such as a birth certificate or passport, in order to register or update their voter registration for federal elections. ",0,1,0,0,0,0,0,0,0,0,0,"[[""Voters must provide documentary proof of citizenship to register or update registration for federal elections."", ""Proponent Save Act - Accountability""]]","[[""Proponent Save Act - Accountability"", ""Detected because the participant expresses “Voters must provide documentary proof of citizenship to register or update registration for federal elections.”; it describes requiring identity or citizenship verification.""]]",1,,2,"The documentary-proof requirement makes the proponent position recognizable, but no supportive rationale is added. This makes the position recognizable but leaves it simplistic or weakly developed, matching level 2.",0,"No identifiable substantive argument for opponents was provided, so the score is 0."
18,"- Require proof of citizenship to vote
- Ensure only Americans vote in elections 
- Support for spending reform tied to election outcomes
opponents: 
- Bill seen as discriminatory
- Could prevent married women from voting due to name changes
- concerns about voter suppression

",1,1,0,0,1,1,0,1,0,0,0,"[[""Voters should be required to prove citizenship."", ""Proponent Save Act - Accountability""], [""The Act would ensure only Americans vote in elections."", ""Proponent Save Act - Election Integrity""], [""Support for spending reform tied to election outcomes."", ""Proponent Save Act - Invalid""], [""The bill may discriminate against and prevent married women from voting because of name changes."", ""Opponent Save Act - Unequal Burden""], [""The bill raises concerns about voter suppression."", ""Opponent Save Act - Voting Disenfranchisement""]]","[[""Proponent Save Act - Accountability"", ""Detected because the participant expresses “Voters should be required to prove citizenship.”; it describes requiring identity or citizenship verification.""], [""Proponent Save Act - Election Integrity"", ""Detected because the participant expresses “The Act would ensure only Americans vote in elections.”; it is presented as protecting eligible votes or election integrity.""], [""Proponent Save Act - Invalid"", ""Detected because the participant expresses “Support for spending reform tied to election outcomes.”; it is attributed to supporters but is off-topic or ad hominem rather than a SAVE Act policy reason.""], [""Opponent Save Act - Unequal Burden"", ""Detected because the participant expresses “The bill may discriminate against and prevent married women from voting because of name changes.”; it describes a disproportionate burden on a specific group.""], [""Opponent Save Act - Voting Disenfranchisement"", ""Detected because the participant expresses “The bill raises concerns about voter suppression.”; it describes making voting harder or blocking legitimate voters.""]]",1,,3,"Proof of citizenship and citizen-only voting provide an understandable rationale, although the spending-reform point is unrelated. This gives the position an understandable concern or rationale and presents it as legitimate, matching level 3.",4,"The response clearly identifies both general voter-suppression concerns and the specific name-change burden on married women. This clearly communicates why a reasonable person could hold the position, matching level 4."
19,"the proponent's arguments claim that the SAVE Act aims to prevent voter fraud and foreign interference in elections. They see it as a necessary step to protect American democracy. The opponent's arguments claim that the provided text does not explicitly state their side, but it does mention the critics claim that the bill could be discriminatory. ",1,0,0,0,0,0,0,0,0,1,0,"[[""The Act would prevent voter fraud and foreign interference and protect American democracy."", ""Proponent Save Act - Election Integrity""], [""Critics say the bill could be discriminatory."", ""Opponent Save Act - Other Valid""]]","[[""Proponent Save Act - Election Integrity"", ""Detected because the participant expresses “The Act would prevent voter fraud and foreign interference and protect American democracy.”; it is presented as protecting eligible votes or election integrity.""], [""Opponent Save Act - Other Valid"", ""Detected because the participant expresses “Critics say the bill could be discriminatory.”; it is a relevant anti-SAVE-Act reason outside the named opponent categories.""]]",1,,4,"The response clearly ties fraud and foreign-interference prevention to protecting democracy. This clearly communicates why a reasonable person could hold the position, matching level 4.",2,"Calling the bill discriminatory makes the opponent position recognizable, but the response gives no affected group or mechanism. This makes the position recognizable but leaves it simplistic or weakly developed, matching level 2."
20,I learned its about fighting for a bill which was passed in April,0,0,0,0,0,0,0,0,0,0,0,[],[],1,,0,"No identifiable substantive argument for proponents was provided, so the score is 0.",0,"No identifiable substantive argument for opponents was provided, so the score is 0."
21,"Supporters of the SAVE Act say it is needed to protect election integrity by making sure only U.S. citizens can vote. They argue that requiring proof of citizenship, like a passport or birth certificate, will prevent voter fraud and build trust in the election system. Opponents argue that voter fraud by non-citizens is extremely rare and that the new rules would make it harder for many eligible Americans especially women, low-income people, and minorities to register or vote. They believe the bill would do more harm than good by discouraging legal voters from participating.",1,1,1,0,0,1,1,1,0,0,0,"[[""It ensures only U.S. citizens vote and prevents voter fraud."", ""Proponent Save Act - Election Integrity""], [""It requires proof of citizenship such as a passport or birth certificate."", ""Proponent Save Act - Accountability""], [""It will build trust in the election system."", ""Proponent Save Act - Public Confidence in Elections""], [""Noncitizen voter fraud is extremely rare."", ""Opponent Save Act - Lack of Serious Problem""], [""The rules would make registration or voting harder and discourage legal voters."", ""Opponent Save Act - Voting Disenfranchisement""], [""The rules especially burden women, low-income people, and minorities."", ""Opponent Save Act - Unequal Burden""]]","[[""Proponent Save Act - Election Integrity"", ""Detected because the participant expresses “It ensures only U.S. citizens vote and prevents voter fraud.”; it is presented as protecting eligible votes or election integrity.""], [""Proponent Save Act - Accountability"", ""Detected because the participant expresses “It requires proof of citizenship such as a passport or birth certificate.”; it describes requiring identity or citizenship verification.""], [""Proponent Save Act - Public Confidence in Elections"", ""Detected because the participant expresses “It will build trust in the election system.”; it describes increasing trust or confidence in elections.""], [""Opponent Save Act - Lack of Serious Problem"", ""Detected because the participant expresses “Noncitizen voter fraud is extremely rare.”; it says the targeted problem is rare, already addressed, or not serious.""], [""Opponent Save Act - Voting Disenfranchisement"", ""Detected because the participant expresses “The rules would make registration or voting harder and discourage legal voters.”; it describes making voting harder or blocking legitimate voters.""], [""Opponent Save Act - Unequal Burden"", ""Detected because the participant expresses “The rules especially burden women, low-income people, and minorities.”; it describes a disproportionate burden on a specific group.""]]",1,,5,"The response makes the proponent view especially clear by linking specified documents to citizen-only voting, fraud prevention, and public trust. This makes the position highly serious, internally intelligible, and especially clear, matching level 5.",5,"The response makes the opponent view especially clear by combining rarity, a participation mechanism, and specific disproportionately affected groups. This makes the position highly serious, internally intelligible, and especially clear, matching level 5."
22,It requires real id's in order to vote.,0,1,0,0,0,0,0,0,0,0,0,"[[""The Act requires real IDs in order to vote."", ""Proponent Save Act - Accountability""]]","[[""Proponent Save Act - Accountability"", ""Detected because the participant expresses “The Act requires real IDs in order to vote.”; it describes requiring identity or citizenship verification.""]]",1,,2,"The ID requirement makes the supportive position recognizable, but no reason for it is provided. This makes the position recognizable but leaves it simplistic or weakly developed, matching level 2.",0,"No identifiable substantive argument for opponents was provided, so the score is 0."
23,The save act has been introduced to stop non American citizens from voting in American elections. Many well known people have called to pass this act going as a far as accusing others of being traitors of America if they oppose it. ,1,0,0,0,1,0,0,0,0,0,0,"[[""The Act was introduced to stop non-American citizens from voting in American elections."", ""Proponent Save Act - Election Integrity""], [""Some supporters accuse anyone who opposes the Act of being a traitor to America."", ""Proponent Save Act - Invalid""]]","[[""Proponent Save Act - Election Integrity"", ""Detected because the participant expresses “The Act was introduced to stop non-American citizens from voting in American elections.”; it is presented as protecting eligible votes or election integrity.""], [""Proponent Save Act - Invalid"", ""Detected because the participant expresses “Some supporters accuse anyone who opposes the Act of being a traitor to America.”; it is attributed to supporters but is off-topic or ad hominem rather than a SAVE Act policy reason.""]]",1,,2,"Stopping noncitizen voting gives a recognizable rationale, but the added 'traitor' accusation is dismissive rhetoric rather than policy reasoning. This makes the position recognizable but leaves it simplistic or weakly developed, matching level 2.",0,"No identifiable substantive argument for opponents was provided, so the score is 0."
